,a2i,vowels,binary
1455,selec,2,0000000000000000000000000000000000011100111100101110110011001011100011
1456,repeated,4,0000000000000011100101100101111000011001011100001111010011001011100100
1457,recurslye,3,0000000111001011001011100011111010111100101110011110110011110011100101
1458,colleagues,5,1100011110111111011001101100110010111000011100111111010111001011110011
1459,serc,1,0000000000000000000000000000000000000000001110011110010111100101100011
1460,decompose,4,0000000110010011001011100011110111111011011110000110111111100111100101
1461,strategy,2,0000000000000011100111110100111001011000011110100110010111001111111001
1462,delivered,4,0000000110010011001011101100110100111101101100101111001011001011100100
1463,nnpda,1,0000000000000000000000000000000000011011101101110111000011001001100001
1464,ninth,1,0000000000000000000000000000000000011011101101001110111011101001101000
1465,star,1,0000000000000000000000000000000000000000001110011111010011000011110010
1466,tumor,2,0000000000000000000000000000000000011101001110101110110111011111110010
1467,ham,1,0000000000000000000000000000000000000000000000000110100011000011101101
1468,macintyre,3,0000000110110111000011100011110100111011101110100111100111100101100101
1469,diction,3,0000000000000000000001100100110100111000111110100110100111011111101110
1470,features,4,0000000000000011001101100101110000111101001110101111001011001011110011
1471,suppresses,3,1110011111010111100001110000111001011001011110011111001111001011110011
1472,ner,1,0000000000000000000000000000000000000000000000000110111011001011110010
1473,optimizer,4,0000000110111111100001110100110100111011011101001111101011001011110010
1474,leemon,3,0000000000000000000000000000110110011001011100101110110111011111101110
1475,gindi,2,0000000000000000000000000000000000011001111101001110111011001001101001
1476,martin,2,0000000000000000000000000000110110111000011110010111010011010011101110
1477,sifter,2,0000000000000000000000000000111001111010011100110111010011001011110010
1478,netic,2,0000000000000000000000000000000000011011101100101111010011010011100011
1479,casdagli,3,0000000000000011000111100001111001111001001100001110011111011001101001
1480,bination,4,0000000000000011000101101001110111011000011110100110100111011111101110
1481,zij,1,0000000000000000000000000000000000000000000000000111101011010011101010
1482,sumption,3,0000000000000011100111110101110110111100001110100110100111011111101110
1483,repository,4,1110010110010111100001101111111001111010011110100110111111100101111001
1484,garrett,2,0000000000000000000001100111110000111100101110010110010111101001110100
1485,radically,3,0000000111001011000011100100110100111000111100001110110011011001111001
1488,impose,3,0000000000000000000000000000110100111011011110000110111111100111100101
1489,effort,2,0000000000000000000000000000110010111001101100110110111111100101110100
1491,gcm,0,0000000000000000000000000000000000000000000000000110011111000111101101
1492,infer,2,0000000000000000000000000000000000011010011101110110011011001011110010
1494,consumer,3,0000000000000011000111101111110111011100111110101110110111001011110010
1495,baird,2,0000000000000000000000000000000000011000101100001110100111100101100100
1496,moscow,2,0000000000000000000000000000110110111011111110011110001111011111110111
1497,replicator,4,1110010110010111100001101100110100111000111100001111010011011111110010
1498,cases,2,0000000000000000000000000000000000011000111100001111001111001011110011
1499,image,3,0000000000000000000000000000000000011010011101101110000111001111100101
1500,originates,5,1101111111001011010011100111110100111011101100001111010011001011110011
1501,exposition,5,1100101111100011100001101111111001111010011110100110100111011111101110
1502,triple,2,0000000000000000000000000000111010011100101101001111000011011001100101
1503,caused,3,0000000000000000000000000000110001111000011110101111001111001011100100
1504,mixtures,3,0000000000000011011011101001111100011101001110101111001011001011110011
1505,kan,1,0000000000000000000000000000000000000000000000000110101111000011101110
1507,obeying,3,0000000000000000000001101111110001011001011111001110100111011101100111
1508,summarized,4,1110011111010111011011101101110000111100101101001111101011001011100100
1509,tutorial,4,0000000000000011101001110101111010011011111110010110100111000011101100
1510,isbell,2,0000000000000000000000000000110100111100111100010110010111011001101100
1511,overly,2,0000000000000000000000000000110111111101101100101111001011011001111001
1512,smeared,3,0000000000000000000001110011110110111001011100001111001011001011100100
1513,xia,2,0000000000000000000000000000000000000000000000000111100011010011100001
1514,poles,2,0000000000000000000000000000000000011100001101111110110011001011110011
1516,ably,1,0000000000000000000000000000000000000000001100001110001011011001111001
1518,latched,2,0000000000000000000001101100110000111101001100011110100011001011100100
1519,respect,2,0000000000000000000001110010110010111100111110000110010111000111110100
1520,cone,2,0000000000000000000000000000000000000000001100011110111111011101100101
1521,dnf,0,0000000000000000000000000000000000000000000000000110010011011101100110
1522,creature,4,0000000000000011000111110010110010111000011110100111010111100101100101
1523,pervasive,4,0000000111000011001011110010111011011000011110011110100111101101100101
1524,allman,2,0000000000000000000000000000110000111011001101100110110111000011101110
1525,semble,2,0000000000000000000000000000111001111001011101101110001011011001100101
1526,mer,1,0000000000000000000000000000000000000000000000000110110111001011110010
1527,matically,3,0000000110110111000011110100110100111000111100001110110011011001111001
1528,thomas,2,0000000000000000000000000000111010011010001101111110110111000011110011
1529,strongly,1,0000000000000011100111110100111001011011111101110110011111011001111001
1530,qos,1,0000000000000000000000000000000000000000000000000111000111011111110011
1531,dcm,0,0000000000000000000000000000000000000000000000000110010011000111101101
1532,header,3,0000000000000000000000000000110100011001011100001110010011001011110010
1533,remainder,4,0000000111001011001011101101110000111010011101110110010011001011110010
1534,buckingham,3,1100010111010111000111101011110100111011101100111110100011000011101101
1535,signifying,3,1110011110100111001111101110110100111001101111001110100111011101100111
1536,signal,2,0000000000000000000000000000111001111010011100111110111011000011101100
1538,jection,3,0000000000000000000001101010110010111000111110100110100111011111101110
1539,reactor,3,0000000000000000000001110010110010111000011100011111010011011111110010
1540,liebler,3,0000000000000000000001101100110100111001011100010110110011001011110010
1541,detector,3,0000000000000011001001100101111010011001011100011111010011011111110010
1542,carroll,2,0000000000000000000001100011110000111100101110010110111111011001101100
1543,clay,1,0000000000000000000000000000000000000000001100011110110011000011111001
1544,retain,3,0000000000000000000000000000111001011001011110100110000111010011101110
1545,soderberg,3,0000000111001111011111100100110010111100101100010110010111100101100111
1546,need,2,0000000000000000000000000000000000000000001101110110010111001011100100
1548,dishwasher,3,1100100110100111100111101000111011111000011110011110100011001011110010
1549,mapping,2,0000000000000000000001101101110000111100001110000110100111011101100111
1550,temporal,3,0000000000000011101001100101110110111100001101111111001011000011101100
1551,solvable,3,0000000000000011100111101111110110011101101100001110001011011001100101
1552,delbriick,3,0000000110010011001011101100110001011100101101001110100111000111101011
1553,produce,3,0000000000000000000001110000111001011011111100100111010111000111100101
1554,voiceless,4,0000000111011011011111101001110001111001011101100110010111100111110011
1555,colliculus,4,1100011110111111011001101100110100111000111110101110110011101011110011
1556,oxi,2,0000000000000000000000000000000000000000000000000110111111110001101001
1557,surfaces,3,0000000000000011100111110101111001011001101100001110001111001011110011
1558,singularly,3,1110011110100111011101100111111010111011001100001111001011011001111001
1559,stephen,2,0000000000000000000001110011111010011001011110000110100011001011101110
1560,ryohei,3,0000000000000000000000000000111001011110011101111110100011001011101001
1561,motivation,5,1101101110111111101001101001111011011000011110100110100111011111101110
1562,unequal,4,0000000000000000000001110101110111011001011110001111010111000011101100
1563,grateful,3,0000000000000011001111110010110000111101001100101110011011101011101100
1565,hayashi,3,0000000000000000000001101000110000111110011100001111001111010001101001
1566,slx,0,0000000000000000000000000000000000000000000000000111001111011001111000
1567,inertia,4,0000000000000000000001101001110111011001011110010111010011010011100001
1568,rescorla,3,0000000000000011100101100101111001111000111101111111001011011001100001
1569,comparing,3,0000000110001111011111101101111000011000011110010110100111011101100111
1570,movshon,2,0000000000000000000001101101110111111101101110011110100011011111101110
1571,obser,2,0000000000000000000000000000000000011011111100010111001111001011110010
1572,trough,2,0000000000000000000000000000111010011100101101111111010111001111101000
1573,depression,4,1100100110010111100001110010110010111100111110011110100111011111101110
1574,suddenly,2,0000000000000011100111110101110010011001001100101110111011011001111001
1578,smearing,3,0000000000000011100111101101110010111000011110010110100111011101100111
1579,reverses,3,0000000000000011100101100101111011011001011110010111001111001011110011
